श्रौतक्रीडाविशेष : मोक्षपट

स्थानांचा अनुक्रम

1	मनुष्य 
2	जातमृत्यु 
3	अविद्यादीदृक्षा 
4	खेद  
5	उपनयनसंस्कार
6	ब्रह्मचर्य  
7	श्रद्धा
8	गृहस्थ  
9	परोपकार
10	दुष्कर्म 
11	बुद्धिनाश 
12	पापयोनि 
13	श्रवण 
14	निद्रा 
15	दुःख 
16	वानप्रस्थ 
17	तामस  अहंकार 
18	दहराद्यूपासना 
19	सुकृत हानि 
20	वर्णाश्रम धर्म 
21	पीडा 
22	सन्यास 
23	स्मृतिविभ्रम 
24	कला 
25	उपासना 
26	नास्तिक्य 
27	सृष्टि उत्पत्ति 
28	मनन 
29	संपदतिसंपदउपासना 
30	निर्गुणोपासना 
31	दुर्वासना 
32	तीव्रमुमुक्षा 
33	बौध्य 
34	कीर्तन 
35	समन्वय
36	पश्चाताप 
37	संमोह 
38	म्लेंच्छमत 
39	अहंग्रहोपासना 
40	प्रजापीडन 
41	ध्यान 
42	अन्य प्रतिशापदान 
43	विद्याभ्यास 
44	आलस्य 
45	मुमुक्षुत्व 
46	संयमजन्यसिद्धिभोग 
47	स्मरण 
48	हिंसा 
49	पुण्य 
50	शोक 
51	साहस 
52	धर्मांतर 
53	गौणी भक्ति 
54	गुरुवाक्यश्रद्धा 
55	अर्हनमुक्ती 
56	तामोभूमि 
57	पंचमहायज्ञ 
58	पंक्तिप्रपंच 
59	तीव्र अनुताप 
60	क्रोध 
61	पादसेवन 
62	ऐंदवसमप्रक्रिया 
63	सौभाग्य 
64	धर्मपत्नीमनोभंग 
65	पंथाभिमान 
66	शास्त्र 
67	सत्कुल 
68	अर्चन 
69	राजमंदिर 
70	हर्ष 
71	प्रायश्चित्त 
72	काम 
73	योग 
74	सत्कर्म 
75	भगवदगुणश्रवण 
76	विवेक 
77	क्षणिक वाद 
78	सुखेच्छा
79	वंदन 
80	धर्मलोक
81	शुद्धि 
82	परोक्षज्ञान 
83	ज्ञान 
84	कपट 
85	प्रमाद 
86	संप्रज्ञान समाधि
87	ब्राह्मण्य 
88	क्षुद्र पातके 
89	दास्य 
90	मातृपितृसेवा  
91	विद्याभिमान 
92	सख्य 
93	सत्समागम 
94	सत्गुरुसेवा 
95	भोगेच्छा 
96	पंचमहापातके 
97	तप 
98	चित्तशुद्धि 
99	नित्यकर्म 
100	धूममार्गादि 
101	निदिध्यासन 
102	ज्ञानेश्वरी 
103	भेदभावना 
104	कर्मसमुच्चिदुपासनालोक
105	गो-ब्राह्मणरक्षण 
106	संग 
107	अतिथिसत्कार 
108	भय 
109	विवेकख्याति 
110	पातिव्रत्य 
